,stock_id,trigger_prices,percentage_change
0,BAJFINANCE,7235.25,-1.73
1,DRREDDY,5617.0,1.31
2,TCS,3512.0,0.4
3,HINDUNILVR,2516.0,1.0
4,ADANIENT,2217.3,0.52
5,M&M,1586.0,1.05
6,HDFCBANK,1503.2,-0.34
7,INFY,1443.75,-0.08
8,ICICIBANK,927.25,-0.93
9,UPL,560.5,-0.06
10,ITC,440.0,0.31
