,stock_id,trigger_prices,percentage_change,TakeProfit,Stop Loss,trade_token,number_of_stocks,Value_Stock,balance_stocks_to_buy,buy_price,buying_time
0,TORNTPHARM-EQ,1934.85,3.07,2031.5925,1821.264,3518,52.0,100612.2,4.0,1930.05,2023-10-25 11:31:50.713928
1,JINDALSTEL-EQ,656.25,2.52,689.0625,636.0944249999999,6733,152.0,99750.0,3.0,655.0,2023-10-25 11:31:50.823333
2,INDIGO-EQ,2447.6,2.37,2569.98,2385.266725,11195,41.0,100351.6,2.0,2448.65,2023-10-25 11:31:50.932699
3,CROMPTON-EQ,284.1,1.56,298.30500000000006,277.48315,17094,352.0,100003.2,1.0,283.65,2023-10-25 11:31:51.057683
