,stock_id,trigger_prices,percentage_change,TakeProfit,Stop Loss,Last High,trade_token,number_of_stocks,per_stock_value,Value_Stock,Number_of_Stocks,Order_Placed,SELL_Order_Placed
0,SUNPHARMA-EQ,1118.25,2.72,1174.1625000000001,1066.747475,1132.55,3351,22.0,25000.0,24601.5,0,False,False
1,BPCL-EQ,357.1,2.25,374.95500000000004,336.59434999999996,358.75,526,70.0,25000.0,24997.0,0,False,False
2,RELIANCE-EQ,2293.8,0.26,2408.4900000000002,2266.545075,2317.5,2885,10.0,25000.0,22938.0,0,False,False
3,ICICIBANK-EQ,915.3,-0.01,961.0649999999999,906.8377,917.6,4963,27.0,25000.0,24713.1,0,False,False
4,HDFCBANK-EQ,1474.7,-0.12,1548.4350000000002,1459.70715,1477.0,1333,16.0,25000.0,23595.2,0,False,False
