date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,381.1,384.0,380.4,381.95,2861749
2021-01-04 00:00:00+05:30,384.9,396.9,384.5,395.35,8238892
2021-01-05 00:00:00+05:30,394.7,394.75,389.0,392.0,4532068
2021-01-06 00:00:00+05:30,392.6,396.95,382.55,387.3,8072360
2021-01-07 00:00:00+05:30,391.0,395.0,387.6,392.2,6560803
2021-01-08 00:00:00+05:30,395.0,406.0,394.25,400.15,12377956
2021-01-11 00:00:00+05:30,404.0,404.75,395.35,401.75,6834003
2021-01-12 00:00:00+05:30,401.5,409.0,397.45,402.55,8331071
2021-01-13 00:00:00+05:30,406.0,425.0,404.65,411.9,21181147
2021-01-14 00:00:00+05:30,412.0,430.0,411.0,426.7,12600096
2021-01-15 00:00:00+05:30,429.4,429.5,411.3,414.6,8827951
2021-01-18 00:00:00+05:30,414.0,416.9,402.0,409.55,8393582
2021-01-19 00:00:00+05:30,413.0,418.0,408.25,413.45,5547107
2021-01-20 00:00:00+05:30,415.0,416.9,409.25,413.85,4937393
2021-01-21 00:00:00+05:30,415.0,423.0,405.1,408.3,8768238
2021-01-22 00:00:00+05:30,409.0,412.95,394.95,396.05,7702419
2021-01-25 00:00:00+05:30,400.0,402.85,384.7,387.3,6030213
2021-01-27 00:00:00+05:30,385.55,390.25,379.75,380.6,6033438
2021-01-28 00:00:00+05:30,377.0,389.7,376.25,384.3,8155883
2021-01-29 00:00:00+05:30,389.9,396.55,381.35,383.6,8258955
2021-02-01 00:00:00+05:30,388.0,397.9,380.6,393.0,13938368
2021-02-02 00:00:00+05:30,396.75,411.0,393.25,408.0,8876838
2021-02-03 00:00:00+05:30,405.0,417.0,402.35,414.9,8509253
2021-02-04 00:00:00+05:30,413.6,422.5,410.55,418.55,7599341
2021-02-05 00:00:00+05:30,420.5,422.3,413.1,415.0,3861284
2021-02-08 00:00:00+05:30,420.0,424.4,416.0,420.05,6322827
2021-02-09 00:00:00+05:30,431.0,438.05,416.65,419.35,22577022
2021-02-10 00:00:00+05:30,422.2,424.95,409.05,415.8,9580296
2021-02-11 00:00:00+05:30,415.0,422.85,414.3,421.95,5729659
2021-02-12 00:00:00+05:30,423.0,425.85,414.6,418.1,5470945
2021-02-15 00:00:00+05:30,422.8,424.9,417.0,419.0,5518776
2021-02-16 00:00:00+05:30,417.8,422.6,416.2,417.95,5397662
2021-02-17 00:00:00+05:30,404.5,413.9,401.55,411.7,8589431
2021-02-18 00:00:00+05:30,415.35,434.35,410.7,432.2,20755494
2021-02-19 00:00:00+05:30,437.0,444.8,423.5,430.0,24446305
2021-02-22 00:00:00+05:30,429.3,435.25,418.0,422.55,9690341
2021-02-23 00:00:00+05:30,428.0,442.7,425.8,435.25,14397828
2021-02-24 00:00:00+05:30,440.0,445.0,436.1,438.7,5990683
2021-02-25 00:00:00+05:30,441.95,467.8,441.85,461.55,18810829
2021-02-26 00:00:00+05:30,454.95,466.35,440.25,449.85,18441539
2021-03-01 00:00:00+05:30,456.0,463.85,450.1,455.25,6092750
2021-03-02 00:00:00+05:30,474.5,482.4,462.0,469.0,26600333
2021-03-03 00:00:00+05:30,480.0,480.0,462.3,466.35,8837642
2021-03-04 00:00:00+05:30,462.0,472.65,459.25,463.9,6278311
2021-03-05 00:00:00+05:30,463.0,474.45,458.1,461.8,8896513
2021-03-08 00:00:00+05:30,462.0,472.95,461.8,466.7,5674769
2021-03-09 00:00:00+05:30,446.2,454.0,437.35,445.9,199790953
2021-03-10 00:00:00+05:30,451.0,451.9,442.05,445.5,11745802
2021-03-12 00:00:00+05:30,457.0,464.0,451.0,457.55,26396386
2021-03-15 00:00:00+05:30,464.45,465.0,451.3,460.55,16921115
2021-03-16 00:00:00+05:30,464.55,465.6,452.05,453.85,15391437
2021-03-17 00:00:00+05:30,442.0,446.7,430.1,432.05,28849799
2021-03-18 00:00:00+05:30,435.0,438.5,423.8,426.9,13180981
2021-03-19 00:00:00+05:30,426.0,438.4,419.2,432.95,13311475
2021-03-22 00:00:00+05:30,438.25,442.0,434.35,439.35,13671931
2021-03-23 00:00:00+05:30,441.9,442.2,435.1,436.5,8544739
2021-03-24 00:00:00+05:30,434.95,436.5,428.65,429.95,5158543
2021-03-25 00:00:00+05:30,426.45,427.2,415.1,418.95,10449487
2021-03-26 00:00:00+05:30,425.9,431.8,421.4,424.2,9602431
2021-03-30 00:00:00+05:30,428.9,433.9,421.5,430.8,8576904
2021-03-31 00:00:00+05:30,430.5,431.15,425.5,427.95,5009335
2021-04-01 00:00:00+05:30,430.6,439.95,428.05,437.4,4578197
2021-04-05 00:00:00+05:30,434.1,437.0,421.1,428.05,5755221
2021-04-06 00:00:00+05:30,430.0,433.7,424.3,428.1,4595437
2021-04-07 00:00:00+05:30,429.0,431.5,427.5,428.2,3715472
2021-04-08 00:00:00+05:30,429.55,436.0,429.3,430.55,3354117
2021-04-09 00:00:00+05:30,430.0,432.25,424.5,425.6,4089592
2021-04-12 00:00:00+05:30,417.95,419.4,402.0,403.95,6184047
2021-04-13 00:00:00+05:30,405.0,412.5,402.2,409.4,4032156
2021-04-15 00:00:00+05:30,409.0,416.4,403.3,404.85,7220179
2021-04-16 00:00:00+05:30,405.0,422.95,404.3,413.8,11146313
2021-04-19 00:00:00+05:30,405.0,412.4,400.0,408.75,5628231
2021-04-20 00:00:00+05:30,411.9,414.45,406.1,408.1,3513444
2021-04-22 00:00:00+05:30,405.0,421.3,403.5,418.35,7805674
2021-04-23 00:00:00+05:30,417.3,424.95,416.0,423.05,23840266
2021-04-26 00:00:00+05:30,426.0,428.35,417.55,418.9,6444098
2021-04-27 00:00:00+05:30,417.5,423.1,416.55,420.35,5408165
2021-04-28 00:00:00+05:30,422.0,424.35,414.9,417.5,9902533
2021-04-29 00:00:00+05:30,422.0,423.0,417.0,419.55,6632804
2021-04-30 00:00:00+05:30,417.5,437.5,414.65,421.8,16851470
2021-05-03 00:00:00+05:30,419.0,429.05,415.4,416.0,8059391
2021-05-04 00:00:00+05:30,420.9,429.45,418.5,421.45,9993939
2021-05-05 00:00:00+05:30,422.05,431.6,421.0,424.8,6889331
2021-05-06 00:00:00+05:30,428.0,435.0,424.15,434.0,6393644
2021-05-07 00:00:00+05:30,435.05,447.0,428.0,443.15,12027364
2021-05-10 00:00:00+05:30,449.0,455.0,445.0,453.7,9702910
2021-05-11 00:00:00+05:30,449.6,464.0,446.9,462.25,10847939
2021-05-12 00:00:00+05:30,464.0,468.0,446.5,449.25,7617797
2021-05-14 00:00:00+05:30,453.5,453.5,439.1,442.25,4899715
2021-05-17 00:00:00+05:30,445.0,446.55,438.1,443.65,3031731
2021-05-18 00:00:00+05:30,447.2,452.4,442.7,448.45,4967123
2021-05-19 00:00:00+05:30,450.0,454.3,442.25,446.45,8107607
2021-05-20 00:00:00+05:30,448.0,457.85,441.5,454.8,9399907
2021-05-21 00:00:00+05:30,463.0,468.0,459.05,461.05,11993869
2021-05-24 00:00:00+05:30,466.95,474.55,460.6,472.85,11470610
2021-05-25 00:00:00+05:30,476.8,479.0,469.0,474.4,10599676
2021-05-26 00:00:00+05:30,478.65,480.7,468.5,472.2,12972307
2021-05-27 00:00:00+05:30,485.0,488.0,466.0,467.85,51494404
2021-05-28 00:00:00+05:30,475.0,479.9,468.5,471.5,14656852
2021-05-31 00:00:00+05:30,473.45,473.45,468.3,472.0,6747781
2021-06-01 00:00:00+05:30,473.4,476.7,470.1,470.85,4434765
2021-06-02 00:00:00+05:30,470.0,475.45,469.0,474.65,6338355
2021-06-03 00:00:00+05:30,474.5,478.4,473.1,473.9,6092262
2021-06-04 00:00:00+05:30,474.8,482.8,474.05,478.25,8879733
2021-06-07 00:00:00+05:30,480.8,485.4,478.75,481.4,6261695
2021-06-08 00:00:00+05:30,483.8,489.7,476.25,487.45,7599482
2021-06-09 00:00:00+05:30,492.0,493.9,481.5,485.05,9490181
2021-06-10 00:00:00+05:30,486.25,487.5,482.75,483.55,3694317
2021-06-11 00:00:00+05:30,485.7,489.5,481.7,483.6,3719254
2021-06-14 00:00:00+05:30,483.95,485.0,476.0,483.7,3618826
2021-06-15 00:00:00+05:30,485.0,487.25,480.8,481.9,3253680
